Landing Page,Product Brand,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,,,,
/product/hush-sofia-striped-skirt/WLLDe8nnfAAGrCGA,Hush,59,42.37%,25,30.51%,1.17,,,,
/product/jaeger-mini-saddle-bag/WNJAosnnfAAGvzk0,Jaeger,59,22.03%,13,22.03%,1.14,,,,
/product/whistles-jerry-belted-check-coat/WIy4PsnnfAAGtK8W,Whistles,59,35.59%,21,27.12%,1.25,,,,
/product/whistles-statement-drop-earring/WGGJkUzt_QAGkIp1,Whistles,59,37.29%,22,37.29%,1.12,,,,
/product/carvela-kurt-geiger-autobann-zebra-heels/WH3wLMnnfAAF-6pO,Carvela Kurt Geiger,58,36.21%,21,32.76%,1.19,,,,
/product/reiss-grace-suede-biker-jacket/WLWptMnnfAAFUpDW,Reiss,58,31.03%,18,22.41%,1.12,,,,
/product/whistles-exclusive-enchante-t-shirt/WHyhXsnnfAAG_vwM,Whistles,57,91.23%,52,45.61%,1.19,,,,
/product/wildfox-drunk-text-t-shirt/WI-Ow8_0fgAFHUlE,Wildfox,57,36.84%,21,31.58%,1.23,,,,
/product/all-saints-paradise-north-south-bag/V8x7bUzt_QAGDvh9,All Saints,56,23.21%,13,21.43%,1.09,,,,
/product/me-and-em-forever-summer-breton-top/WKb2p0zt_QAGg5nU,ME and EM,56,32.14%,18,17.86%,1.14,,,,
/product/warehouse-poppy-print-midi-dress/WI5C5M_0fgAFj-0s,Warehouse,56,17.86%,10,5.36%,2.29,,,,
/product/accessorize-cara-camera-bag/VNyAjuSwu4EN2Hvb,Accessorize,55,74.55%,41,18.18%,1.53,,,,
/product/hobbs-farrah-ankle-boot/WJfZU8nnfAAGLG8b,Hobbs,55,27.27%,15,18.18%,1.22,,,,
/product/whistles-lulu-frost-earrings/WA9NA8nnfAAGAaAG,Whistles,55,30.91%,17,25.45%,1.15,,,,
/product/and-other-stories-fine-knit-jumper/WHToWMnnfAAFAyVN,& Other Stories,54,31.48%,17,25.93%,1.35,,,,
/product/mango-roses-tulle-t-shirt/WKaxWkzt_QAGgwv4,Mango,54,33.33%,18,29.63%,1.07,,,,
/product/monki-kimomo-jeans/V4TNmkzt_QAFKppJ,MONKI,54,85.19%,46,40.74%,1.24,,,,
/product/whistles-tailored-jogger/WI8ztMnnfAAFZFJt,Whistles,54,46.30%,25,38.89%,1.26,,,,
/product/chinti-and-parker-heart-striped-top/WKc24snnfAAH8J3c,Chinti and Parker,53,28.30%,15,26.42%,1.06,,,,
/product/and-other-stories-chelsea-boots/Vu67C-Sw-3hG0yle,& Other Stories,51,47.06%,24,25.49%,1.27,,,,
/product/maje-phil-wide-leg-jeans/WLi9F8nnfAAF4Dxd,Maje,51,37.25%,19,33.33%,1.04,,,,
/product/mango-printed-chiffon-dress/WJEAJFL6_wAHGP_X,Mango,51,19.61%,10,19.61%,1.22,,,,
/product/warehouse-garden-posy-pleated-skirt/WGrhvM_0fgAGGRbZ,Warehouse,51,31.37%,16,11.76%,3.39,,,,
